Date,Part,Price,Description,URL
2021-02-16 22:26:42,rtx3070,687.59,EVGA 08G-P5-3767-KR GeForce RTX 3070 FTW3 Ultra Gaming. 8GB GDDR6. iCX3 Technologie. ARGB LED. Metal,https://www.amazon.de/_itm/dp/B08L8L9TCZ?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-16 16:59:50,rtx3070,770.49,Gigabyte GeForce RTX 3070 GAMING OC - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08KHL21CV?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-16 16:23:12,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-16 14:56:20,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-16 13:39:28,rtx3070,770.49,Gigabyte GeForce RTX 3070 GAMING OC - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08KHL21CV?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-15 18:09:06,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-15 15:45:25,rtx3070,770.49,Gigabyte GeForce RTX 3070 GAMING OC - Scheda grafica da 8 GB,https://www.amazon.it/_itm/dp/B08KHL21CV?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-15 15:44:53,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-15 08:32:37,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-15 04:36:44,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-15 04:36:28,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-14 23:19:12,rtx3060ti,423.43,EVGA GeForce RTX 3060 Ti FTW ULTRA GAMING. 08G-P5-3667-KR. 8GB GDDR6. iCX3 Cooling. ARGB LED,https://www.amazon.co.uk/_itm/dp/B08P2H5LW2?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-14 22:56:02,rtx3070,817.99,Gigabyte RTX 3070 Gaming OC - Tarjeta gráfica GeForce 8 GB,https://www.amazon.es/_itm/dp/B08KHL21CV?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
